id,text,sentiment,is_make_sense,comment
33,"If you want to see the true, vile nature of Communism, watch the movie DARK BLUE WORLD. ( Tvamomodr Svet) It recounts how the brave Czech pilots who refused to surrender fled to England to join the fight against the Nazis. After the war, the Communists feared they had picked up dangerous Western ideas about freedom. So, they had these heroic Czech pilots thrown into a nightmarish prison, where some of the guards were the same Nazis they risked their lives to defeat. If Hollywood wants to understand why so many of their movies fall flat, they should compare the character drama portions of "" Pearl Harbor "" with this movie. In Dark Blue World, you really make a connection to all the characters. In Pearl Harbor, everyone is like some slick cartoon version of a real person. There are innumerable instances of brilliant writing in this movie. One funny scene that sticks in my mind is when the character Karel is being taught English by a rather formal Englishwoman. When he can't pronounce a word, he ridicules the lesson. In typical stoic English fashion, the teacher calmly but forcefully confronts Karel, and shames him into behaving. The aerial battle sequences in this movie are amazing, and they help to keep the movie lively. I read that it cost$ 11,000 an hour to rent the planes, but it was worth every penny. Ladies, you are expected to cry at sad movies, but guys .... beware! This movie would make General Patton weep. And if you are a dog lover, you'll use up half a box of Kleenex. Don't say I didn't warn you.",Positive,Yes,
34,"If you want to see the true, vile nature of Communism, watch the movie DARK BLUE WORLD. ( Tvamomodr Svet) It recounts how the brave Czech pilots who refused to surrender fled to England to join the fight against the Nazis. After the war, the Communists feared they had picked up dangerous Western ideas about freedom. So, they had these heroic Czech pilots thrown into a nightmarish prison, where some of the guards were the same Nazis they risked their lives to defeat. If Hollywood wants to understand why so many of their movies fall flat, they should compare the character drama portions of "" Pearl Harbor "" with this movie. In Dark Blue World, you really make a connection to all the characters. In Pearl Harbor, everyone is like some slick cartoon version of a real person. There are innumerable instances of brilliant writing in this movie. One funny scene that sticks in my mind is when the character Elyesea is being taught English by a rather formal Englishwoman. When he can't pronounce a word, he ridicules the lesson. In typical stoic English fashion, the teacher calmly but forcefully confronts Elyesea , and shames her into behaving. The aerial battle sequences in this movie are amazing, and they help to keep the movie lively. I read that it cost$ 11,000 an hour to rent the planes, but it was worth every penny. Ladies, you are expected to cry at sad movies, but guys .... beware! This movie would make General Patton weep. And if you are a dog lover, you'll use up half a box of Kleenex. Don't say I didn't warn you.",Positive,No,"Inconsistency: ""Elyesea"" -> ""When he can't"""
35,"If you want to see the true, vile nature of Communism, watch the movie DARK BLUE WORLD. ( Tvamomodr Svet) It recounts how the brave Czech pilots who refused to surrender fled to England to join the fight against the Nazis. After the war, the Communists feared they had picked up dangerous Western ideas about freedom. So, they had these heroic Czech pilots thrown into a nightmarish prison, where some of the guards were the same Nazis they risked their lives to defeat. If Hollywood wants to understand why so many of their movies fall flat, they should compare the character drama portions of "" Pearl Harbor "" with this movie. In Dark Blue World, you really make a connection to all the characters. In Pearl Harbor, everyone is like some slick cartoon version of a real person. There are innumerable instances of brilliant writing in this movie. One funny scene that sticks in my mind is when the character Pianco is being taught English by a rather formal Englishwoman. When he can't pronounce a word, he ridicules the lesson. In typical stoic English fashion, the teacher calmly but forcefully confronts Pianco , and shames him into behaving. The aerial battle sequences in this movie are amazing, and they help to keep the movie lively. I read that it cost$ 11,000 an hour to rent the planes, but it was worth every penny. Ladies, you are expected to cry at sad movies, but guys .... beware! This movie would make General Patton weep. And if you are a dog lover, you'll use up half a box of Kleenex. Don't say I didn't warn you.",Positive,Yes,
36,"When I first saw "" Race Against Fear "" ( don't you just love LMN movie titles?), I had to keep scratching my head. Was this meant to be serious? Why couldn't the main character even run like a normal person running, much less like a star runner? How did I know that the coach was evil only 1 minute into the film? All of these questions, and no answers. Then, I just let the inane script and the awful directing just carry me away ... it was easier not to resist ... then the film became funnier by the minute, and I now rank it among my top ten junk movies from LMN. Some have said here that Ariana Richards is really talented but that the material was flawedI heartily disagree. Not only can she not convince me that she's an athlete, she's walks wideeyed through the rest of the story, like she's just landed on earth. Maybe the coach broke out of prison and finished her off ... at least I hope so.",Negative,Yes,
37,"When I first saw "" Race Against Fear "" ( don't you just love LMN movie titles?), I had to keep scratching my head. Was this meant to be serious? Why couldn't the main character even run like a normal person running, much less like a star runner? How did I know that the coach was evil only 1 minute into the film? All of these questions, and no answers. Then, I just let the inane script and the awful directing just carry me away ... it was easier not to resist ... then the film became funnier by the minute, and I now rank it among my top ten junk movies from LMN. Some have said here that Modestie is really talented but that the material was flawedI heartily disagree. Not only can she not convince me that she 's an athlete, she 's walks wideeyed through the rest of the story, like she 's just landed on earth. Maybe the coach broke out of prison and finished her off ... at least I hope so.",Negative,Yes,
38,"When I first saw "" Race Against Fear "" ( don't you just love LMN movie titles?), I had to keep scratching my head. Was this meant to be serious? Why couldn't the main character even run like a normal person running, much less like a star runner? How did I know that the coach was evil only 1 minute into the film? All of these questions, and no answers. Then, I just let the inane script and the awful directing just carry me away ... it was easier not to resist ... then the film became funnier by the minute, and I now rank it among my top ten junk movies from LMN. Some have said here that Акиндин is really talented but that the material was flawedI heartily disagree. Not only can he not convince me that he 's an athlete, he 's walks wideeyed through the rest of the story, like he 's just landed on earth. Maybe the coach broke out of prison and finished his off ... at least I hope so.",Negative,Yes,"Name is for unknown gender, assumed to be applicable to male"
39,"Meester Sharky, you look so ... normal. You would never get a table in this fancy cocktail restaurant/ bistro. I, on the other ' and eat grapes and pate ' ere every day. You like my fur coat with all the fine trimming? My enormous golden rings of gold? Or maybe you like these blonde, ' ow you say?, bombshells, who are all qualified in aerobics and naked petanques, who decorate my long, maroon velvety sofa like so many soft boiled larks on a plate of pan fried foie gras and figs. You like? You can't have! Zey are all mine. You will never possess ' er as I possessed ' er. Domino was the best, apart from Maman. You do not understand the art of lovemaking. Just look at your inferior moustache. It is almost funny to me, non, to think of that ludicrous protuberance on your silly face, as you snuffle around Domino's love hillock like the piggy seeking the truffle in the forest, the forest heaving and swaying in the hot winds of desire! You lose again Sharky. When I make love to the women zey know, Sharky, zey know. Zey learn, zey learn until zey become the teacher. Not nanomaths, the arts of love. Domino was the seedling which I watered. I watered her so very often. Everywhere Sharky. Her scented petals, her proud stalk, everywhere. She will wither under your ridiculous hose, like the souffl removed from the oven five minute too soon. I must go now Sharky, you bore me so with your disgraceful behaviour. It is you who will be flushed down le pissoir like the smelly thing. Bon chance!",Neutral,No,Does not appear coherent
40,"Meester Sharky, you look so ... normal. You would never get a table in this fancy cocktail restaurant/ bistro. I, on the other ' and eat grapes and pate ' ere every day. You like my fur coat with all the fine trimming? My enormous golden rings of gold? Or maybe you like these blonde, ' ow you say?, bombshells, who are all qualified in aerobics and naked petanques, who decorate my long, maroon velvety sofa like so many soft boiled larks on a plate of pan fried foie gras and figs. You like? You can't have! Zey are all mine. You will never possess ' er as I possessed ' er. Conliane was the best, apart from Maman. You do not understand the art of lovemaking. Just look at your inferior moustache. It is almost funny to me, non, to think of that ludicrous protuberance on your silly face, as you snuffle around Conliane 's love hillock like the piggy seeking the truffle in the forest, the forest heaving and swaying in the hot winds of desire! You lose again Sharky. When I make love to the women zey know, Sharky, zey know. Zey learn, zey learn until zey become the teacher. Not nanomaths, the arts of love. Conliane was the seedling which I watered. I watered her so very often. Everywhere Sharky. Her scented petals, her proud stalk, everywhere. She will wither under your ridiculous hose, like the souffl removed from the oven five minute too soon. I must go now Sharky, you bore me so with your disgraceful behaviour. It is you who will be flushed down le pissoir like the smelly thing. Bon chance!",Neutral,No,Does not appear coherent
41,"Meester Sharky, you look so ... normal. You would never get a table in this fancy cocktail restaurant/ bistro. I, on the other ' and eat grapes and pate ' ere every day. You like my fur coat with all the fine trimming? My enormous golden rings of gold? Or maybe you like these blonde, ' ow you say?, bombshells, who are all qualified in aerobics and naked petanques, who decorate my long, maroon velvety sofa like so many soft boiled larks on a plate of pan fried foie gras and figs. You like? You can't have! Zey are all mine. You will never possess ' er as I possessed ' er. Avraamij was the best, apart from Maman. You do not understand the art of lovemaking. Just look at your inferior moustache. It is almost funny to me, non, to think of that ludicrous protuberance on your silly face, as you snuffle around Avraamij 's love hillock like the piggy seeking the truffle in the forest, the forest heaving and swaying in the hot winds of desire! You lose again Sharky. When I make love to the women zey know, Sharky, zey know. Zey learn, zey learn until zey become the teacher. Not nanomaths, the arts of love. Avraamij was the seedling which I watered. I watered his so very often. Everywhere Sharky. His scented petals, his proud stalk, everywhere. He will wither under your ridiculous hose, like the souffl removed from the oven five minute too soon. I must go now Sharky, you bore me so with your disgraceful behaviour. It is you who will be flushed down le pissoir like the smelly thing. Bon chance!",Neutral,No,Does not appear coherent
42,"Luc Besson's first work is also his first foray in science fiction, a genre to which he will return fourteen years later with "" the Fifth Element "" ( 1997). Even if this film was strongly influenced by Hollywood cinema, it is still highly enjoyable. Back in 1983, "" le Dernier Combat "" reveals Besson's own approach of science fiction. He takes back a threadbare topic and his efforts are discernible to make a stylish work. Shot in widescreen and black and white, a disaster has destroyed virtually all the population from earth and we will never know what was this disaster and why men can't talk any more. Some barbarian hordes were formed. In parallel, a man ( Pierre Jolivet) lives on his own and arrives in an unrecognizable Paris where he is received by a doctor ( Jean Bouise). There are no words in Besson's work. The characters ' actions and the progression of the events go through looks and gestures. Although the starting point and the backdrop are unnerving, the film has never the look of a despondent one. It seems that the man and the doctor try to reproduce gestures and actions linked to mankind before the disaster. The film opens with the man having sex with an inflatable doll. Later, the doctor tries to make him speak through a machine and he is a painter in his spare time. It's all the more intriguing as these paintings seem to come from the prehistoric times. Following this reasoning, one could argue that the bearded giant ( Jean Reno) embodies evil and a threat to the efforts deployed by the man and the doctor to regain what finally made a human being. Ditto for the gang of baddies at the beginning of the film. The pessimistic whiff that such a film could convey isn't really at the fore and gives way to a glimmer of hope. Personally, the film could have gained with no music at all, except the one the man can hear with his cassette recorder. Luc Besson was to make better and still entrancing films like this one, he also boosted Pierre Jolivet's career as a director who will leave a patchy work behind him in the future: "" Force Majeure "" ( 1989), "" Simple Mortel "" ( 1991), "" ma Petite Entreprise "" ( 1999) or "" Filles Uniques "" ( 2003).",Positive,Yes,
43,"Luc Besson's first work is also his first foray in science fiction, a genre to which he will return fourteen years later with "" the Fifth Element "" ( 1997). Even if this film was strongly influenced by Hollywood cinema, it is still highly enjoyable. Back in 1983, "" le Dernier Combat "" reveals Besson's own approach of science fiction. He takes back a threadbare topic and his efforts are discernible to make a stylish work. Shot in widescreen and black and white, a disaster has destroyed virtually all the population from earth and we will never know what was this disaster and why men can't talk any more. Some barbarian hordes were formed. In parallel, a mother ( Pierre Jolivet) lives on her own and arrives in an unrecognizable Paris where she is received by a doctor ( Jean Bouise). There are no words in Besson's work. The characters ' actions and the progression of the events go through looks and gestures. Although the starting point and the backdrop are unnerving, the film has never the look of a despondent one. It seems that the man and the doctor try to reproduce gestures and actions linked to mankind before the disaster. The film opens with the mother having sex with an inflatable doll. Later, the doctor tries to make him speak through a machine and he is a painter in his spare time. It's all the more intriguing as these paintings seem to come from the prehistoric times. Following this reasoning, one could argue that the bearded giant ( Jean Reno) embodies evil and a threat to the efforts deployed by the man and the doctor to regain what finally made a human being. Ditto for the gang of baddies at the beginning of the film. The pessimistic whiff that such a film could convey isn't really at the fore and gives way to a glimmer of hope. Personally, the film could have gained with no music at all, except the one the mother can hear with her cassette recorder. Auphelie was to make better and still entrancing films like this one, she also boosted Pierre Jolivet's career as a director who will leave a patchy work behind her in the future: "" Force Majeure "" ( 1989), "" Simple Mortel "" ( 1991), "" ma Petite Entreprise "" ( 1999) or "" Filles Uniques "" ( 2003).",Positive,No,"Actor / actress playing opposite gender (Pierre Jolivet -> mother) can happen, but is rare. Currently such case is marked as ""No"" for consistency."
44,"Luc Besson's first work is also his first foray in science fiction, a genre to which he will return fourteen years later with "" the Fifth Element "" ( 1997). Even if this film was strongly influenced by Hollywood cinema, it is still highly enjoyable. Back in 1983, "" le Dernier Combat "" reveals Besson's own approach of science fiction. He takes back a threadbare topic and his efforts are discernible to make a stylish work. Shot in widescreen and black and white, a disaster has destroyed virtually all the population from earth and we will never know what was this disaster and why men can't talk any more. Some barbarian hordes were formed. In parallel, a brother ( Pierre Jolivet) lives on his own and arrives in an unrecognizable Paris where he is received by a doctor ( Jean Bouise). There are no words in Besson's work. The characters ' actions and the progression of the events go through looks and gestures. Although the starting point and the backdrop are unnerving, the film has never the look of a despondent one. It seems that the man and the doctor try to reproduce gestures and actions linked to mankind before the disaster. The film opens with the brother having sex with an inflatable doll. Later, the doctor tries to make him speak through a machine and he is a painter in his spare time. It's all the more intriguing as these paintings seem to come from the prehistoric times. Following this reasoning, one could argue that the bearded giant ( Jean Reno) embodies evil and a threat to the efforts deployed by the man and the doctor to regain what finally made a human being. Ditto for the gang of baddies at the beginning of the film. The pessimistic whiff that such a film could convey isn't really at the fore and gives way to a glimmer of hope. Personally, the film could have gained with no music at all, except the one the brother can hear with his cassette recorder. Xhuliano was to make better and still entrancing films like this one, he also boosted Pierre Jolivet's career as a director who will leave a patchy work behind him in the future: "" Force Majeure "" ( 1989), "" Simple Mortel "" ( 1991), "" ma Petite Entreprise "" ( 1999) or "" Filles Uniques "" ( 2003).",Positive,Yes,
45,"As a documentary, this is laughable in a campy sort of way -- a schlocky collection of recreated Biblical tableaux mixed in with solemn interviews of socalled "" experts. "" Think of it as an infommercial which pushes Jesus instead of thighmasters.    However, the detailed crucifixion scene is, in terms of historical accuracy, superior to similar scenes in such widescreen Hollywood extravaganzas as "" BenHur, "" "" King of Kings, "" and "" The Greatest Story Ever Told. "" Rather than dragging his entire cross to Golgotha, for example, John Rubinstein simply carries his crossbeam strapped across his shoulders to his outstretched arms. Nails aren't driven through his palms but instead through his wrists. His feet aren't nailed separately but one is placed over the other so that just one nail need be used. Incidentally, Rubinstein's flogging prior to his crucifixion ranks 35th in the book, "" Lash! The Hundred Great Scenes of Men Being Whipped in the Movies. "" Of course, Rubinstein and the two thieves wear modest loincloths, which probably isn't true to the shameful reality of Roman crucifixions, but allowances must be made. Curiously, the "" good "" thief is positioned on the left hand of Jesus, which goes against a longstanding tradition. Just why this thief is played by a pudgy, overweight man is, however, a mystery, especially in view of the fact that the "" bad "" thief is something of a "" hunk. """,Neutral,No,"Inconsistent reference (the entire review's context is documentary about Jesus, but there's reference to ""John Rubinstein"")"
46,"As a documentary, this is laughable in a campy sort of way -- a schlocky collection of recreated Biblical tableaux mixed in with solemn interviews of socalled "" experts. "" Think of it as an infommercial which pushes Jesus instead of thighmasters. However, the detailed crucifixion scene is, in terms of historical accuracy, superior to similar scenes in such widescreen Hollywood extravaganzas as "" BenHur, "" "" King of Kings, "" and "" The Greatest Story Ever Told. "" Rather than dragging his entire cross to Golgotha, for example, Jocelinne simply carries her crossbeam strapped across her shoulders to her outstretched arms. Nails aren't driven through her palms but instead through her wrists. Her feet aren't nailed separately but one is placed over the other so that just one nail need be used. Incidentally, Jocelinne 's flogging prior to her crucifixion ranks 35th in the book, "" Lash! The Hundred Great Scenes of Men Being Whipped in the Movies. "" Of course, Jocelinne and the two thieves wear modest loincloths, which probably isn't true to the shameful reality of Roman crucifixions, but allowances must be made. Curiously, the "" good "" thief is positioned on the left hand of Jesus, which goes against a longstanding tradition. Just why this thief is played by a pudgy, overweight man is, however, a mystery, especially in view of the fact that the "" bad "" thief is something of a "" hunk. """,Neutral,No,"In context, the reviewed movie is about Jesus, while the name (Jocelinne) is female"
47,"As a documentary, this is laughable in a campy sort of way -- a schlocky collection of recreated Biblical tableaux mixed in with solemn interviews of socalled "" experts. "" Think of it as an infommercial which pushes Jesus instead of thighmasters. However, the detailed crucifixion scene is, in terms of historical accuracy, superior to similar scenes in such widescreen Hollywood extravaganzas as "" BenHur, "" "" King of Kings, "" and "" The Greatest Story Ever Told. "" Rather than dragging his entire cross to Golgotha, for example, Epiteto simply carries his crossbeam strapped across his shoulders to his outstretched arms. Nails aren't driven through his palms but instead through his wrists. His feet aren't nailed separately but one is placed over the other so that just one nail need be used. Incidentally, Epiteto 's flogging prior to his crucifixion ranks 35th in the book, "" Lash! The Hundred Great Scenes of Men Being Whipped in the Movies. "" Of course, Epiteto and the two thieves wear modest loincloths, which probably isn't true to the shameful reality of Roman crucifixions, but allowances must be made. Curiously, the "" good "" thief is positioned on the left hand of Jesus, which goes against a longstanding tradition. Just why this thief is played by a pudgy, overweight man is, however, a mystery, especially in view of the fact that the "" bad "" thief is something of a "" hunk. """,Neutral,No,"Inconsistent reference (the entire review's context is documentary about Jesus, but there's reference to ""John Rubinstein"")"
48,"** MAJOR SPOILERS** Watchable only for the action sequences not the story or acting in it "" Nature Unleashed: Fire "" has one of the longest and excruciating endings in modern motion picture history. We have the fearless Ranger Jake, Bryan Genesse, leading this trio of hysterical bikers to safety in of all paces an explosive fume beaching mine shaft! This during a raging forest fire! It seems that Ranger Jake with all his knowledge of the great outdoors didn't realize that a mine shaft that's leaking with dangerous and explosive methane gas is the last place to go when all the woods around it is on fire!*** SPOILERS FROM THIS POINT ON*** All this started some time ago when Ranger Jake in an effort to save the not that on the ball miner Tiny, Chris Harz aka "" The Sherd "", let him slip through his fingers and fall to his death at the bottom of the mine shaft, or did he! Even though we were kept in suspense to who's setting the forest fires for the first half of the movie it wasn't a surprise at all the Tiny was the culprit! As you would expect in movies like these Tiny seemed to be made of hardened steel in that nothing that ever happened to him, fires explosions as well as impaling, could stop the crazed miner. Before Tiny's reappearance, or resurrection, Ranger Jake got involved in rescuing bikers Chris Mel Sharon & Marcus, Josh Cohen Melanie Lewis Anastasia Griffith & Ross McCall, who were trapped in the woods with fires breaking all around them. Having the usual know it allMarcusamong the bikers things don't go as smoothly as Ranger Jake wanted them to go. Marcus not only eggs on the meek Chris to do something stupid, jump with his bike over a 10 foot pile of logs, but has the guy break his leg. This makes it almost impossible for Ranger Jake to have Chris airlifted out before the fires consume him as well as his fellow bikers! For the remainder of the movie Ranger Jake, who put himself in charge, makes boner after boner in his attempt to save himself and the trapped and lost in the woods bikers! All this ends with Jake's brilliant idea to hide in a dangerous and abandoned mine shaft with the rescue party just yards away from rescuing them if they only stayed put and in the open where the rescue team could find them! Even though he was supposed to be the life of the party, or movie, Tiny for all his efforts in being another indestructible super villain came across as a man who spent too much time out in the sun. The makeup job on Tiny was so outrageous that he looked like he dumped a jar of spaghetti sauce over his head instead of having it burned to a crisp. Ranger Jake came across as either somewhat very naive or retarded in his being so taken in by the dangerous Tiny in always trying to save the rampaging psycho who never hid his feelings about what he had in mind for the play by the rules Forest Ranger. In fact Ranger Jake actually encouraged Tiny to do both him and the bikers in by showing him how incompetent he was in trying to save them. The fact that Ranger Jake was successful wasn't because he was so smart but because Tiny, despite his indestructibility, was so brainless!",Neutral,Yes,
49,"** MAJOR SPOILERS** Watchable only for the action sequences not the story or acting in it "" Nature Unleashed: Fire "" has one of the longest and excruciating endings in modern motion picture history. We have the fearless Ranger Jake, Bryan Genesse, leading this trio of hysterical bikers to safety in of all paces an explosive fume beaching mine shaft! This during a raging forest fire! It seems that Toke with all her knowledge of the great outdoors didn't realize that a mine shaft that's leaking with dangerous and explosive methane gas is the last place to go when all the woods around it is on fire!*** SPOILERS FROM THIS POINT ON*** All this started some time ago when Toke in an effort to save the not that on the ball miner Tiny, Chris Harz aka "" The Sherd "", let him slip through his fingers and fall to his death at the bottom of the mine shaft, or did he! Even though we were kept in suspense to who's setting the forest fires for the first half of the movie it wasn't a surprise at all the Tiny was the culprit! As you would expect in movies like these Tiny seemed to be made of hardened steel in that nothing that ever happened to him, fires explosions as well as impaling, could stop the crazed miner. Before Tiny's reappearance, or resurrection, Toke got involved in rescuing bikers Chris Mel Sharon & Marcus, Josh Cohen Melanie Lewis Anastasia Griffith & Ross McCall, who were trapped in the woods with fires breaking all around them. Having the usual know it allMarcusamong the bikers things don't go as smoothly as Toke wanted them to go. Marcus not only eggs on the meek Chris to do something stupid, jump with his bike over a 10 foot pile of logs, but has the guy break his leg. This makes it almost impossible for Toke to have Chris airlifted out before the fires consume him as well as his fellow bikers! For the remainder of the movie Ranger Jake, who put himself in charge, makes boner after boner in his attempt to save himself and the trapped and lost in the woods bikers! All this ends with Toke 's brilliant idea to hide in a dangerous and abandoned mine shaft with the rescue party just yards away from rescuing them if they only stayed put and in the open where the rescue team could find them! Even though he was supposed to be the life of the party, or movie, Tiny for all his efforts in being another indestructible super villain came across as a man who spent too much time out in the sun. The makeup job on Tiny was so outrageous that he looked like he dumped a jar of spaghetti sauce over his head instead of having it burned to a crisp. Toke came across as either somewhat very naive or retarded in her being so taken in by the dangerous Tiny in always trying to save the rampaging psycho who never hid her feelings about what she had in mind for the play by the rules Forest Ranger. In fact Toke actually encouraged Tiny to do both her and the bikers in by showing her how incompetent she was in trying to save them. The fact that Toke was successful wasn't because she was so smart but because Tiny, despite her indestructibility, was so brainless!",Neutral,No,"Inconsistent reference (""Ranger Jake"" -> ""Toke"")"
50,"** MAJOR SPOILERS** Watchable only for the action sequences not the story or acting in it "" Nature Unleashed: Fire "" has one of the longest and excruciating endings in modern motion picture history. We have the fearless Ranger Jake, Bryan Genesse, leading this trio of hysterical bikers to safety in of all paces an explosive fume beaching mine shaft! This during a raging forest fire! It seems that Мамант with all his knowledge of the great outdoors didn't realize that a mine shaft that's leaking with dangerous and explosive methane gas is the last place to go when all the woods around it is on fire!*** SPOILERS FROM THIS POINT ON*** All this started some time ago when Мамант in an effort to save the not that on the ball miner Tiny, Chris Harz aka "" The Sherd "", let him slip through his fingers and fall to his death at the bottom of the mine shaft, or did he! Even though we were kept in suspense to who's setting the forest fires for the first half of the movie it wasn't a surprise at all the Tiny was the culprit! As you would expect in movies like these Tiny seemed to be made of hardened steel in that nothing that ever happened to him, fires explosions as well as impaling, could stop the crazed miner. Before Tiny's reappearance, or resurrection, Мамант got involved in rescuing bikers Chris Mel Sharon & Marcus, Josh Cohen Melanie Lewis Anastasia Griffith & Ross McCall, who were trapped in the woods with fires breaking all around them. Having the usual know it allMarcusamong the bikers things don't go as smoothly as Мамант wanted them to go. Marcus not only eggs on the meek Chris to do something stupid, jump with his bike over a 10 foot pile of logs, but has the guy break his leg. This makes it almost impossible for Мамант to have Chris airlifted out before the fires consume him as well as his fellow bikers! For the remainder of the movie Ranger Jake, who put himself in charge, makes boner after boner in his attempt to save himself and the trapped and lost in the woods bikers! All this ends with Мамант 's brilliant idea to hide in a dangerous and abandoned mine shaft with the rescue party just yards away from rescuing them if they only stayed put and in the open where the rescue team could find them! Even though he was supposed to be the life of the party, or movie, Tiny for all his efforts in being another indestructible super villain came across as a man who spent too much time out in the sun. The makeup job on Tiny was so outrageous that he looked like he dumped a jar of spaghetti sauce over his head instead of having it burned to a crisp. Мамант came across as either somewhat very naive or retarded in his being so taken in by the dangerous Tiny in always trying to save the rampaging psycho who never hid his feelings about what he had in mind for the play by the rules Forest Ranger. In fact Мамант actually encouraged Tiny to do both him and the bikers in by showing him how incompetent he was in trying to save them. The fact that Мамант was successful wasn't because he was so smart but because Tiny, despite his indestructibility, was so brainless!",Neutral,No,Inconsistent reference